,Account,Tweet,Date,Compound,Positive,Neutral,Negative,Tweets Ago
0,@BBCBreaking,"Plane with at least 80 on board crashes in Mexican city of Durango, local media report https://t.co/BrNF7LDkq8",Tue Jul 31 21:41:13 +0000 2018,0.0,0.0,1.0,0.0,1
1,@BBCBreaking,"UK man jailed for 17 years for manslaughter, after woman was splashed with acid and died 11 days later https://t.co/C23RYKyjo6",Tue Jul 31 15:49:55 +0000 2018,-0.7783,0.0,0.726,0.274,2
2,@BBCBreaking,"Doctors and families can agree to allow people in long-term vegetative states to die without legal application, UK… https://t.co/nau6IaaFAe",Mon Jul 30 09:16:49 +0000 2018,-0.2192,0.178,0.608,0.214,3
3,@BBCBreaking,"RT @BBCSport: Geraint Thomas has done it! 👏🏴󠁧󠁢󠁷󠁬󠁳󠁿

He's become the first ever Welshman to win the Tour de France 👉 https://t.co/ZtkRdPtGio…",Sun Jul 29 17:12:57 +0000 2018,0.6239,0.17,0.83,0.0,4
4,@BBCBreaking,"RT @BBCSport: Lewis Hamilton has won the #HungarianGP for the sixth time. 

His lead in the championship is up to 24 points.

Reaction: htt…",Sun Jul 29 14:58:52 +0000 2018,0.765,0.231,0.769,0.0,5
5,@BBCBreaking,Five dead and five injured after car and minibus crash on A96 in Moray https://t.co/1jBgjqgX7P,Fri Jul 27 05:53:04 +0000 2018,-0.8658,0.0,0.553,0.447,6
6,@BBCBreaking,"North Korea has returned the remains of US troops killed during the Korean War, White House confirms https://t.co/rpsPNChksr",Fri Jul 27 01:59:48 +0000 2018,-0.8555,0.0,0.656,0.344,7
7,@BBCBreaking,"More than 1,800 migrant children in US reunited with family members by a court-ordered deadline, government says https://t.co/pzjlsaBOrN",Thu Jul 26 23:04:29 +0000 2018,0.0,0.0,1.0,0.0,8
8,@BBCBreaking,Former cricketer Imran Khan claims victory in Pakistan's election amid accusations of vote rigging by rivals https://t.co/r8z5wnYu7z,Thu Jul 26 12:17:23 +0000 2018,-0.3182,0.0,0.874,0.126,9
9,@BBCBreaking,"BBC agrees to pay Sir Cliff Richard £850,000 within 14 days to cover his legal costs after privacy ruling https://t.co/lP9aHPHNZO",Thu Jul 26 09:56:02 +0000 2018,0.2263,0.152,0.783,0.065,10
10,@BBCBreaking,"Explosion reported close to the US embassy in Beijing, according to multiple eyewitness reports on social media https://t.co/f2RzOOnzre",Thu Jul 26 06:41:03 +0000 2018,0.0,0.0,1.0,0.0,11
11,@BBCBreaking,Conservatives in US Congress start impeachment process in effort to oust Deputy Attorney General Rod Rosenstein https://t.co/hbPIHoRp08,Wed Jul 25 23:49:08 +0000 2018,0.0,0.0,1.0,0.0,12
12,@BBCBreaking,"Scientists believe they've found liquid water on Mars for the first time, a potential game-changer in the search fo… https://t.co/W8UcZKBCjA",Wed Jul 25 14:22:52 +0000 2018,0.0,0.0,1.0,0.0,13
13,@BBCBreaking,Can you own a shape? Kit Kat loses its 16-year battle to trademark a four-fingered wafer bar at top EU court https://t.co/CI8XIU4wxz,Wed Jul 25 10:21:24 +0000 2018,-0.4767,0.076,0.717,0.207,14
14,@BBCBreaking,Suicide attacks in southern Syria kill at least 38 people - Islamic State group says it was behind the violence https://t.co/iWxeypEWIL,Wed Jul 25 06:06:04 +0000 2018,-0.9531,0.0,0.497,0.503,15
15,@BBCBreaking,DUP MP Ian Paisley suspended from Commons after he failed to declare holidays paid for by Sri Lankan government https://t.co/b3aKthkEfy,Tue Jul 24 14:53:07 +0000 2018,-0.5859,0.1,0.654,0.246,16
16,@BBCBreaking,"At least 74 people killed in wildfires close to Athens, Greek fire brigade official says

https://t.co/hXxldenh2P https://t.co/pv1gvtIsfl",Tue Jul 24 14:46:27 +0000 2018,-0.7845,0.0,0.685,0.315,17
17,@BBCBreaking,"Israel shoots down Syrian warplane flying over its airspace in southern Golan, Israeli army says https://t.co/1q1iAVx4Wt",Tue Jul 24 11:41:03 +0000 2018,0.0,0.0,1.0,0.0,18
18,@BBCBreaking,Greek PM Alexis Tsipras declares three-day period of mourning for victims of deadly wildfires in Greece… https://t.co/u28o5XTA4s,Tue Jul 24 11:31:53 +0000 2018,-0.6369,0.0,0.743,0.257,19
19,@BBCBreaking,"At least 60 people killed in Greece wildfires in the Attica region around Athens, local official says… https://t.co/nsLJ8RKq84",Tue Jul 24 10:54:27 +0000 2018,-0.6705,0.0,0.791,0.209,20
20,@BBCBreaking,"RT @BBCSport: Race stopped!

The 16th stage of the #TDF2018 has been put on pause due to a protest.

Live: https://t.co/6AsDSFzMjQ https://…",Tue Jul 24 10:28:15 +0000 2018,-0.4926,0.0,0.819,0.181,21
21,@BBCBreaking,"Hundreds missing and an unknown number dead after dam collapses in Laos, state news agency reports https://t.co/ET8e1BBRUI",Tue Jul 24 08:08:46 +0000 2018,-0.8126,0.057,0.565,0.378,22
22,@BBCBreaking,"Greece wildfires:

- at least 50 killed
- more than 100 injured
- Greece issues appeal for help
- worst recorded wi… https://t.co/cQYljPSLMd",Tue Jul 24 06:55:17 +0000 2018,-0.8709,0.092,0.513,0.395,23
23,@BBCBreaking,At least 50 people now reported dead in Greece's worst wildfires in more than a decade https://t.co/0NvP8xdqDA,Tue Jul 24 06:16:46 +0000 2018,-0.8555,0.0,0.625,0.375,24
24,@BBCBreaking,Three men arrested in London over suspected acid attack on three-year-old boy in Worcester on Saturday https://t.co/1lyDT0owWH,Mon Jul 23 05:44:30 +0000 2018,-0.7964,0.0,0.633,0.367,25
25,@BBCBreaking,"Three-year-old boy seriously injured in suspected ""deliberate"" acid attack in Worcester, England, police say https://t.co/UIMDWhVvOw",Sun Jul 22 10:24:38 +0000 2018,-0.8126,0.0,0.539,0.461,26
